artifact,metric,dataset,value,source_file,source_column,source_type,notes
CUR_COMP1,vehicles,OCSLab,3,tmp_ocslab_curated_sources/paper/results/table_03_cross_vehicle_generalisation.csv,Train Vehicle,OCSLab curated paper export,"Hyundai, Kia, Chevrolet"
CUR_COMP1,manufacturers,OCSLab,3,tmp_ocslab_curated_sources/paper/results/table_03_cross_vehicle_generalisation.csv,Train Vehicle,OCSLab curated paper export,
CUR_COMP1,attack families,OCSLab,4,tmp_ocslab_curated_sources/paper/results/table_05_coordinated_campaign_detection.csv,Attack Type,OCSLab curated paper export,
CUR_COMP1,vehicles,CTT,4,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT1_dataset_summary.csv,Vehicle,CTT full validation export,
CUR_COMP1,manufacturers,CTT,2,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT1_dataset_summary.csv,Manufacturer,CTT full validation export,
CUR_COMP1,attack families,CTT,9,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT1_dataset_summary.csv,Attack families,CTT full validation export,
CUR_COMP2,local ROC-AUC,OCSLab,0.7855,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,roc_auc,OCSLab curated paper export,
CUR_COMP2,local ROC-AUC,CTT,0.9944,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,roc_auc,CTT full validation export,
CUR_COMP2,local PR-AUC,OCSLab,0.9273,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,pr_auc,OCSLab curated paper export,
CUR_COMP2,local PR-AUC,CTT,0.0978,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,pr_auc,CTT full validation export,
CUR_COMP2,local precision,OCSLab,0.9728,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,precision,OCSLab curated paper export,
CUR_COMP2,local precision,CTT,0.0227,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,precision,CTT full validation export,
CUR_COMP2,local recall,OCSLab,0.4596,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,recall,OCSLab curated paper export,
CUR_COMP2,local recall,CTT,0.2500,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,recall,CTT full validation export,
CUR_COMP2,local F1,OCSLab,0.6243,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,f1,OCSLab curated paper export,
CUR_COMP2,local F1,CTT,0.0417,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,f1,CTT full validation export,
CUR_COMP2,local FPR,OCSLab,0.0395,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,fpr,OCSLab curated paper export,
CUR_COMP2,local FPR,CTT,0.1738,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,fpr,CTT full validation export,
CUR_COMP2,raw window size (bytes),OCSLab,2075.8,tmp_ocslab_curated_sources/paper/results/table_02_descriptor_compactness_security.csv,raw_window_bytes,OCSLab curated paper export,
CUR_COMP2,raw window size (bytes),CTT,1600.0,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,raw_window_bytes,CTT full validation export,
CUR_COMP2,descriptor size (bytes),OCSLab,165.1,tmp_ocslab_curated_sources/paper/results/table_02_descriptor_compactness_security.csv,descriptor_bytes,OCSLab curated paper export,
CUR_COMP2,descriptor size (bytes),CTT,482.3,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,descriptor_bytes,CTT full validation export,
CUR_COMP2,bandwidth reduction,OCSLab,0.9205,tmp_ocslab_curated_sources/paper/results/table_02_descriptor_compactness_security.csv,bandwidth_reduction,OCSLab curated paper export,
CUR_COMP2,bandwidth reduction,CTT,0.6986,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,bandwidth_reduction,CTT full validation export,
CUR_COMP2,compression ratio,OCSLab,12.57,tmp_ocslab_curated_sources/paper/results/table_02_descriptor_compactness_security.csv,compression_ratio,OCSLab curated paper export,
CUR_COMP2,compression ratio,CTT,3.32,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,compression_ratio,CTT full validation export,
CUR_COMP2,candidate transmission rate,CTT,0.2581,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,candidate_rate,CTT full validation export,
CUR_COMP3,Benign-Fleet Control,OCSLab,false_campaign=0.0; fleet_campaign=0; campaign_F1=0.000,tmp_ocslab_curated_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,S0,OCSLab final scenario export,
CUR_COMP3,Benign-Fleet Control,CTT,false_campaign=0.0; fleet_campaign=0.0; campaign_F1=0.000; membership_purity=0.000; incorrect_merge=0.000,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,Scenario,CTT full validation export,
CUR_COMP3,Isolated Single-Vehicle Attack,OCSLab,fleet_campaign=0; campaign_F1=0.000,tmp_ocslab_curated_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,S1,OCSLab final scenario export,
CUR_COMP3,Isolated Single-Vehicle Attack,CTT,false_campaign=0.0; fleet_campaign=0.0; campaign_F1=0.000; membership_purity=1.000; incorrect_merge=0.000,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,Scenario,CTT full validation export,
CUR_COMP3,Unrelated Multi-Vehicle Incidents,OCSLab,fleet_campaign=0; campaign_F1=0.000; incorrect_merge=0.333,tmp_ocslab_curated_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,S2,OCSLab final scenario export,
CUR_COMP3,Unrelated Multi-Vehicle Incidents,CTT,false_campaign=0.0; fleet_campaign=0.0; campaign_F1=0.000; membership_purity=1.000; incorrect_merge=1.000,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,Scenario,CTT full validation export,
CUR_COMP3,Strong Behaviourally Related Campaign,OCSLab,fleet_campaign=0.8125; campaign_F1=0.694; membership_purity=0.672,tmp_ocslab_curated_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,S3,OCSLab final scenario export,
CUR_COMP3,Strong Behaviourally Related Campaign,CTT,false_campaign=0.0; fleet_campaign=1.0; campaign_F1=1.000; membership_purity=1.000; incorrect_merge=0.000,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,Scenario,CTT full validation export,
CUR_COMP3,Weak Behaviourally Related Campaign,OCSLab,fleet_campaign=0.71875; campaign_F1=0.667; membership_purity=0.651,tmp_ocslab_curated_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,S4,OCSLab final scenario export,
CUR_COMP3,Weak Behaviourally Related Campaign,CTT,false_campaign=0.0; fleet_campaign=1.0; campaign_F1=1.000; membership_purity=1.000; incorrect_merge=0.000,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,Scenario,CTT full validation export,
CUR_COMP4,nodes,OCSLab,77233,tmp_ocslab_curated_sources/paper/results/final_gnn_graph_statistics.csv,nodes,OCSLab curated paper export,
