scenario_id,scenario_key,scenario_label,seed,campaign_size,method,fleet_correlation_used,descriptor_sharing_used,graph_reasoning_used,local_precision,local_recall,local_f1,local_fpr,local_alert_generated,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_rate,incorrect_merge_rate,membership_precision,membership_recall,membership_f1,fragmentation,source
S0,benign_fleet_control,Benign fleet,11,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,23,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,37,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,41,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,53,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,67,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,71,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,83,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,97,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S0,benign_fleet_control,Benign fleet,101,5,FLEET-GUARD,Yes,Yes,Yes,,0.0,,,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S1,isolated_attack,Isolated single-vehicle attack,11,5,FLEET-GUARD,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S1,isolated_attack,Isolated single-vehicle attack,23,5,FLEET-GUARD,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S1,isolated_attack,Isolated single-vehicle attack,37,5,FLEET-GUARD,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S1,isolated_attack,Isolated single-vehicle attack,41,5,FLEET-GUARD,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S1,isolated_attack,Isolated single-vehicle attack,53,5,FLEET-GUARD,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S1,isolated_attack,Isolated single-vehicle attack,67,5,FLEET-GUARD,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
S1,isolated_attack,Isolated single-vehicle attack,71,5,FLEET-GUARD,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv
